"County","agricultural_and_developed_vegetation","aquatic_vegetation","developed_and_other_human_use","forest_and_woodland","introduced_and_semi_natural_vegetation","nonvascular_and_sparse_vascular_rock_vegetation","open_water","recently_disturbed_or_modified","shrub_and_herb_vegetation"
"Alachua",19.5654676867973,0,9.97453738492236,53.0369163083763,0,0.0610471487000221,3.85493734058965,8.95104714511323,4.55604698550112
"Baker",3.29083415168454,0,5.64986922118145,72.3770466649041,0,0.0974939567910561,0.555278837437679,12.8308420833963,5.19863508460493
"Bay",2.95517595276004,3.34845159227244e-05,11.845482352823,50.9719717859469,0,0.583836019628623,25.9150732222652,5.27357686621764,2.39280350783789
"Bradford",13.4616162959451,0,7.55254378407757,61.6326011413637,0,0.104538279628334,2.08926227659857,14.5431943151528,0.616243907233841
"Brevard",11.7131231695965,0,18.3758719003722,24.2275075587884,0.00570130368290535,0.182532938711898,33.7168258242603,0.922106052458379,10.8550997705339
"Broward",2.65504579104471,0,28.9370826657591,6.64312631307439,0,0.0680417358321748,7.2207452643701,0.215229147870237,54.2607290820493
"Calhoun",9.56954590036079,0,4.79639000134927,74.4384940671357,0,0.0737561738273888,1.31665963794734,9.80001125401832,0.00514296536122071
"Charlotte",18.1069660976767,0,18.3163877969366,31.6794847656896,0,0.189536803932086,18.3238293835316,1.24290761900541,12.1238898108414
"Citrus",7.11905532853237,0,21.1072810911322,39.5226182945618,0,0.205755413375741,19.3335400906544,2.50508809729071,10.1832990179938
"Clay",3.40604133751338,0,18.0207713499218,56.5894553595245,0,0.94569362204869,5.65628891118342,14.5475584430451,0.834190976763173
"Collier",4.53123525053268,0,9.72596990967149,57.7394571476961,0,0.0884145702438385,10.8795054291809,0.214113498972576,16.8013539255595
"Columbia",13.5753150386364,0,7.74752849864288,65.5688431894889,0,0.046400955426028,0.357417452917124,10.7190109918226,1.98548387306607
"DeSoto",41.8614905974504,0,4.10916374779657,44.5415951221793,0,0.0569818538893921,0.577213130620026,1.14518302158242,7.70837252648188
"Dixie",3.66310210561184,0,5.23113397207934,60.4063724601721,0,0.734787074247453,14.1410782849274,10.7935992066716,4.99017714472618
"Duval",1.90137501562779,0,35.9232132735374,35.6021819849712,0,0.435814068004482,14.4693798815279,5.46965063542796,6.19838514090324
"Escambia",12.7357545114216,0.00775880462683383,18.0448782190957,38.443785844061,0,0.429643806210923,23.2519655638388,6.05716137667057,0.987509940968428
"Flagler",7.10108950064297,0,12.2817837836171,54.4974820909284,0,0.37400123968089,13.3556804830438,8.63015261643595,3.75981028565085
"Franklin",0.667227805902566,0,3.72894812206139,43.1390612556845,0,1.46034567618731,44.1852847804877,1.86934013583848,4.90148029832701
"Gadsden",11.022805123559,0,6.63712857681985,70.5526853187497,0,0.146485081270291,2.47854335445576,9.15038652863231,0.0119660165131028
"Gilchrist",29.3943529020488,0,5.16504531470857,51.9513447683888,0,0.0797225849681354,0.589653671396221,12.0721513848742,0.747729373615248
"Glades",41.5525533643361,0,2.67187744189092,22.9486004401211,0,0.0498761719316475,8.74783001693748,1.84161693128845,22.1876456334943
"Gulf",1.39772281881586,0,2.57311614190235,67.2352704878705,0,0.327612640029755,22.4914472698377,3.91773369368121,2.03757295262844
"Hamilton",12.0872183209623,0,6.39609500581451,60.3712850904178,0,0.597384842907804,3.04744600070832,16.6673919461838,0.833178793005449
"Hardee",41.8778067532518,0,3.76531717434856,45.3515782618237,0,1.22597293972672,1.81951940161804,2.47536101510603,3.48444445412512
"Hendry",45.2254730643926,0,4.65256313879799,39.436772384206,0,0.0387117093717688,2.6412195853786,0.844236644533308,7.16102347331974
"Hernando",10.9096027808516,0,22.5207696685891,43.5913266938791,0,0.390049612698506,14.450767152534,3.34983425792252,4.76273355953402
"Highlands",37.1057880909941,0,9.15432261378576,34.8324435525879,0,0.0728130876422783,6.35693735405592,1.64776111529932,10.8299341856348
"Hillsborough",15.5232171495733,0,33.8273783323341,25.9731789589389,0,1.06767314929605,18.3024965677549,3.52240721886222,1.78015566060519
"Holmes",18.9492405552587,0.00504496413101559,4.61500528655396,66.6722563921827,0,0.0602553462408622,1.12538228038063,8.57281517525211,0
"Indian River",14.6427432771789,0,14.7166602312528,41.7683262429712,0,0.177263806529217,20.0613236952317,0.624700924361169,8.00898182247498
"Jackson",28.3703163304013,0,6.51052189747275,54.2385011966051,0,0.0460512760025891,2.25407344468641,8.58035383397805,0.000182020853765174
"Jefferson",9.74646677641178,0,4.02828781113564,73.8441252415585,0,0.159607560300166,3.43885747633965,5.80703946969989,2.96554040290035
"Lafayette",10.0153860399276,0,5.07257314711109,69.9117300479339,0,0.109782502533686,0.462469097906205,14.0289480794087,0.399111085178791
"Lake",20.2769030286663,0,13.421346628652,44.0423252068031,0,0.227703460401677,11.627265656941,3.91304491495816,6.49141110357774
"Lee",5.36177823243022,0,33.1936662578451,24.642675603974,0,0.270693958513798,33.4396519599622,0.950603981204406,2.09924925579367
"Leon",4.88240012676028,0,15.6894075937333,69.4482956683634,0,0.123987403196736,1.97726237398245,5.31660361662937,2.56204321733447
"Levy",14.6093059641007,0,5.0481988970717,49.4654669939325,0,0.895051454484742,13.7514350975344,9.43200707763714,6.76869598298106
"Liberty",1.28218707896682,0,2.77337353682919,89.801976076557,0,0.106663457420962,0.885290210742758,5.0576942970907,0.0928153423925833
"Madison",18.6016092476389,0,5.0463780275355,64.6006789681083,0,0.0745777327203976,0.56491661471473,9.37814988959,1.73368951969221
"Manatee",28.8827020288743,0,17.8367490011155,29.2091898160758,0,0.631186037643793,16.3672579052203,2.23788805704438,4.81911921323983
"Marion",18.9058966631416,0,14.7722342279831,53.5820964148522,0,0.186196115149413,2.03695498605985,7.73241597244573,2.78420562036809
"Martin",23.5219981347307,0,14.5403250124398,26.9688253564597,0,0.185966789244174,26.4282426791914,0.633192644602715,7.72144938333151
"Miami-Dade",4.23629588638958,0,18.3334819313418,11.8482472926303,0,0.124616009237147,18.8630852336071,0.572443739688711,46.0215941152241
"Monroe",0.00168666065927154,0,1.06737076243808,16.6386479174585,0,0.0245646988324675,74.8371161527945,0.0140295568684022,7.37880305218113
"Nassau",3.26695535392705,0,7.55502564209746,60.0910682092916,0,0.231315973536947,9.23659896012315,13.1421399959851,6.47689586503862
"Okaloosa",8.16873400480164,0.000779065977799216,11.909451758287,59.6449341884015,0,0.525577385272796,13.0115704282136,6.18341420470997,0.529213026502526
"Okeechobee",49.7903283421156,0,5.19346860612463,19.2116501480849,0,0.11483735205634,11.8140289329358,1.21319351846766,12.6624931002151
"Orange",10.8077100222671,0,37.1368612064398,33.0404097421104,0.0131593984077128,0.333694639622949,9.09570691941946,2.60888536432487,6.9635727074077
"Osceola",35.4245931601855,0,9.25899048670795,30.7098269406444,0.0117909535466427,0.0994039684519309,8.58051456090466,2.53895456467961,13.3759253648792
"Palm Beach",33.4305582403466,0,20.4891804266183,7.60015787305251,0,0.113282281450547,17.0918274862621,0.28531928856144,20.9896744037085
"Pasco",19.2179050956582,0,24.7129846580143,36.2413153766223,0,0.220533403964874,11.1194148448483,2.99435626820969,5.48505531672134
"Pinellas",0.25474788692041,0,40.804223347922,6.70072476641132,0,0.369471166355335,50.6113889472076,0.47779434625974,0.726201947663934
"Polk",17.9102465381215,0,19.4724929414235,36.9118738781249,0,1.33832511021059,8.07304103437637,8.00186327405598,8.29215722368709
"Putnam",7.64411427783806,0,11.5568771184624,57.9442814435927,0,0.118335536716374,10.883339482635,10.0579323050132,1.79511983574221
"Santa Rosa",12.9769589958392,0.00302729821647616,10.7099875020071,54.4517459052082,0,0.368766473918787,13.2962499194946,7.07248093915101,1.11481740791449
"Sarasota",13.69185756139,0,29.9529749707366,25.8502375496168,0,0.181059454804476,20.3331125448891,2.06870367443047,7.86711574325052
"Seminole",5.3318145959783,0,41.3606048653261,34.523670568158,0,0.0700336483505868,9.32292756749795,1.57153091945325,7.81941783523578
"St. Johns",6.72372818466353,0,13.2322742070191,44.1996284319282,0,0.641390050790784,24.7870367684402,6.85210144648307,3.56384091067516
"St. Lucie",20.4551995088761,0,22.377115505623,36.5908290476704,0,0.203340031252412,16.1828608582708,0.522049205425059,3.66860584288226
"Sumter",30.6759456088737,0,10.6711031708979,49.0377152802291,0,0.29168497064272,1.6141859460224,2.9658134666522,4.743551556682
"Suwannee",30.7911903118529,0,7.76668130764887,45.4026228273828,0,0.138394930037021,0.578226767898601,14.9793813139236,0.343502541256196
"Taylor",2.34730895256665,0,4.89227724333565,61.1047629023147,0,0.588143720121974,12.5797550681679,14.3483874606458,4.09505028673409
"Union",13.1101056310593,0,5.67586068721408,62.3579434779221,0,0.0493928161975045,1.23621175187275,17.3584443628188,0.212041272915484
"Volusia",4.67740197135075,0,17.4991181830652,46.0730242401677,0,0.491612941153417,21.1639248691972,3.19962375810782,6.89529403695793
"Wakulla",2.05383821359122,0,4.69775272119854,70.2995417311914,0,1.12191658566201,13.0885415327036,2.31628846427294,6.40232051057444
"Walton",9.62025424089112,0.00039680852571461,6.62828961353684,61.1909641030002,0,0.395703130535833,13.969672491249,7.58703569859558,0.582061420291087
"Washington",12.407077798808,0.000507733056524793,6.69400903200693,68.7837818778789,0,0.400939870302411,2.60117286336057,9.11189026196205,0.000620562624641414
